dataset,fold,eq_odds,av_odds,av_pred_diff,cof_variation_allgroups,entropy_index_allgroups,theil_index_allgroups,eq_opportunity,stat_parity,error_rate,false_discovery_rate_dif,false_negative_rate_diff,false_omisson_rate_dif,pred_equality,binary_confusion_matrix,ppv,npv,selection_rate,accuracy,f1-score
adult,0,0.0,0.0,-0.004930511525673462,0.004728946230983805,1.1181466227767971e-05,1.1148677354088467e-05,0.0,0.0,-0.009861023051346951,0.0,0.0,-0.009861023051346923,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7614151464897734,0.0,0.7614151464897734,0.0
adult,1,0.0,0.0,0.005408808773077922,0.004963244855592983,1.2316899748285107e-05,1.2358894773167517e-05,0.0,0.0,0.010817617546155844,0.0,0.0,0.010817617546155844,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7614151464897734,0.0,0.7614151464897734,0.0
adult,2,0.0,0.0,-0.007464195271434965,0.00703359443128696,2.4735725311915464e-05,2.462407540123666e-05,0.0,0.0,-0.014928390542869985,0.0,0.0,-0.01492839054286993,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,3,0.0,0.0,-0.012487314694287988,0.0116817930846266,6.823214483601492e-05,6.771595619245385e-05,0.0,0.0,-0.024974629388575975,0.0,0.0,-0.024974629388575975,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,4,0.0,0.0,-0.003137643875323254,0.002918079249367203,4.257593252793729e-06,4.249363993500139e-06,0.0,0.0,-0.006275287750646563,0.0,0.0,-0.006275287750646508,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,0,0.0,0.0,0.017994122769603896,0.008757728229505444,3.8348901870938274e-05,3.8923239377944035e-05,0.0,0.0,0.035988245539207764,0.0,0.0,0.03598824553920779,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7614151464897734,0.0,0.7614151464897734,0.0
adult,1,0.0,0.0,0.027860251477632048,0.01493709736288675,0.00011155843881417914,0.00011413361460939058,0.0,0.0,0.055720502955264206,0.0,0.0,0.055720502955264095,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7614151464897734,0.0,0.7614151464897734,0.0
adult,2,0.0,0.0,-0.005691120758126875,0.002871509454807837,4.122783274525402e-06,4.103950891915674e-06,0.0,0.0,-0.011382241516253777,0.0,0.0,-0.01138224151625375,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,3,0.0,0.0,-0.008697738360741641,0.004496251472837798,1.0108138653498033e-05,1.0038139035502381e-05,0.0,0.0,-0.01739547672148334,0.0,0.0,-0.017395476721483283,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,4,0.0,0.0,0.0034785900289121124,0.0018123323933029534,1.6422743519076055e-06,1.6468863135812622e-06,0.0,0.0,0.006957180057824197,0.0,0.0,0.006957180057824225,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,0,0.0,0.0,0.007076537101000063,0.007795384047848184,3.0384006226722963e-05,3.0487345985916882e-05,0.0,0.0,0.014153074202000071,0.0,0.0,0.014153074202000127,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7614151464897734,0.0,0.7614151464897734,0.0
adult,1,0.0,0.0,-0.004281377522103835,0.004671183792081906,1.0909979009704348e-05,1.0887323442783672e-05,0.0,0.0,-0.00856275504420767,0.0,0.0,-0.00856275504420767,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7614151464897734,0.0,0.7614151464897734,0.0
adult,2,0.0,0.0,-0.0073995701556511945,0.008133628413414116,3.307795558374871e-05,3.296163728404717e-05,0.0,0.0,-0.014799140311302361,0.0,0.0,-0.014799140311302389,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,3,0.0,0.0,0.00221288237707043,0.00242988026053924,2.9521590402791223e-06,2.9553052856709093e-06,0.0,0.0,0.004425764754140804,0.0,0.0,0.00442576475414086,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,4,0.0,0.0,0.0017606104989800336,0.0019268470961101116,1.856369865893985e-06,1.8579551641185692e-06,0.0,0.0,0.0035212209979600395,0.0,0.0,0.0035212209979600673,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,0,0.0,0.0,-0.012040758056080347,0.007415049037129266,2.7491476111515825e-05,2.7239246532212005e-05,0.0,0.0,-0.024081516112160695,0.0,0.0,-0.024081516112160695,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7614151464897734,0.0,0.7614151464897734,0.0
adult,1,0.0,0.0,0.020308733114835748,0.010728736615348424,5.7552894680758976e-05,5.851457874168267e-05,0.0,0.0,0.04061746622967144,0.0,0.0,0.040617466229671495,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7614151464897734,0.0,0.7614151464897734,0.0
adult,2,0.0,0.0,0.002899792508174473,0.0016856059133478422,1.4206336475566067e-06,1.4238799509443074e-06,0.0,0.0,0.005799585016348918,0.0,0.0,0.005799585016348946,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,3,0.0,0.0,0.0027239732479004686,0.001544337269176132,1.1924888004831963e-06,1.1950631521437215e-06,0.0,0.0,0.005447946495800937,0.0,0.0,0.005447946495800937,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,4,0.0,0.0,-0.0014490215821039293,0.0008045895585145973,3.2368217883535724e-07,3.233106877132588e-07,0.0,0.0,-0.002898043164207942,0.0,0.0,-0.0028980431642078586,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,0,,,0.11929242675511333,2.1073424255447017e-08,2.220446049250313e-16,2.9162094548379673e-16,,,-0.7614151464897734,0.0,,0.23858485351022665,,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7614151464897734,0.0,0.7614151464897734,0.0
adult,1,,,0.11929242675511333,2.1073424255447017e-08,2.220446049250313e-16,2.9162094548379673e-16,,,-0.7614151464897734,0.0,,0.23858485351022665,,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7614151464897734,0.0,0.7614151464897734,0.0
adult,2,,,0.11930561698363557,0.0,0.0,0.0,,,-0.7613887660327289,0.0,,0.23861123396727113,,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,3,,,0.11930561698363557,0.0,0.0,0.0,,,-0.7613887660327289,0.0,,0.23861123396727113,,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,4,,,0.11930561698363557,0.0,0.0,0.0,,,-0.7613887660327289,0.0,,0.23861123396727113,,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,0,0.0,0.0,-0.0027620035224597966,0.0024213280575114088,2.9314147810459856e-06,2.9261532506486338e-06,0.0,0.0,-0.005524007044919621,0.0,0.0,-0.005524007044919593,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7614151464897734,0.0,0.7614151464897734,0.0
adult,1,0.0,0.0,0.011672578522798793,0.010020975727349779,5.020997726406671e-05,5.0603747709915965e-05,0.0,0.0,0.023345157045597476,0.0,0.0,0.023345157045597587,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7614151464897734,0.0,0.7614151464897734,0.0
adult,2,0.0,0.0,0.0022579577051809324,0.001970064043817816,1.9405761683719026e-06,1.9434515119865885e-06,0.0,0.0,0.004515915410361782,0.0,0.0,0.004515915410361865,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
