dataset,fold,eq_odds,av_odds,av_pred_diff,cof_variation_allgroups,entropy_index_allgroups,theil_index_allgroups,eq_opportunity,stat_parity,error_rate,false_discovery_rate_dif,false_negative_rate_diff,false_omisson_rate_dif,pred_equality,binary_confusion_matrix,ppv,npv,selection_rate,accuracy,f1-score
adult,0,0.008861118300242787,0.0024464321659944093,-0.2690332007472127,0.015937145066808316,0.0001269962964402463,0.00012708202689631467,-0.003968253968253968,0.005472212751449029,0.03823729969314693,0.5714285714285714,0.003968253968253954,0.03336216993414595,0.008861118300242787,"{'GTP': 507.8258724389598, 'GFP': 1631.0715409237891, 'GTN': 5255.928459076211, 'GFN': 1650.1741275610402}",0.28205128205128205,0.7616033755274262,0.004311774461028192,0.7595356550580431,0.010013654984069186
adult,1,0.003346516580468512,-0.002694708749886963,-0.026315549777617186,0.019948633050041912,0.00019897398028261227,0.0002046177444478881,-0.0020429009193054137,-0.0030473511486169714,0.09933656450367134,-0.8461538461538461,0.002042900919305368,0.10121505429091948,-0.003346516580468512,"{'GTP': 493.03304659947753, 'GFP': 1590.8554736427031, 'GTN': 5296.144526357297, 'GFN': 1664.9669534005225}",0.14705882352941177,0.7610698035734103,0.0037589828634604756,0.7587617468214484,0.004562043795620438
adult,2,0.025343026827769812,0.02131881740239079,0.0922771023302938,0.018359686328193202,0.0001685390410348222,0.0001659699112278134,0.025343026827769812,0.019406799809795528,0.025469567284831185,-0.16666666666666674,-0.025343026827769788,0.017887537993920954,0.017294607977011767,"{'GTP': 512.7289676945657, 'GFP': 1635.6857917197049, 'GTN': 5250.314208280295, 'GFN': 1645.2710323054343}",0.20689655172413793,0.7612867443150305,0.003206545776205219,0.7595090667846086,0.0054869684499314125
adult,3,0.017124681859318116,0.007101776177955066,-0.21609194608628404,0.02003310751598674,0.00020066269837354223,0.0001974892789436286,-0.0029211295034079843,0.01337054209693824,-0.045481198353838015,0.375,0.0029211295034079487,-0.057183892172568085,0.017124681859318116,"{'GTP': 532.7599432654679, 'GFP': 1700.8118193838745, 'GTN': 5185.1881806161255, 'GFN': 1625.2400567345321}",0.20408163265306123,0.7612006670372429,0.005417956656346749,0.7581822202565237,0.009062075215224286
adult,4,0.013405362144857942,0.0052086571680465005,-0.14954548395445133,0.019645357918892475,0.00019297004388069562,0.00018770179793379504,-0.00298804780876494,0.010982269264477852,-0.07450616867794779,0.2142857142857143,0.0029880478087649376,-0.08480525362318839,0.013405362144857942,"{'GTP': 498.43736961483955, 'GFP': 1587.9381411727518, 'GTN': 5298.061858827248, 'GFN': 1659.5626303851604}",0.23684210526315788,0.7613813013546524,0.004201680672268907,0.7591773551525873,0.00819672131147541
kdd,0,0.1583598444680099,0.08116042207025465,0.08633590767847905,0.025918588879832664,0.0003358866247608927,0.00033701814188036744,0.1583598444680099,0.015302716727972496,0.011075224947379225,-0.16468039003250273,-0.15835984446800988,0.007991425324455369,0.003960999672499384,"{'GTP': 252.94420304186315, 'GFP': 408.36102614212143, 'GTN': 10870.63897385788, 'GFN': 468.05579695813685}",0.6666666666666666,0.9559490206141477,0.02575,0.9485,0.4
kdd,1,0.0034421213666496753,0.0027307252126436746,0.0741978781738109,0.02173423528697899,0.00023618849175488133,0.00023604390137161132,0.0034421213666496753,0.00879604610218343,0.025501034953911428,-0.12388663967611341,-0.0034421213666495643,0.024509116671508444,0.002019329058637674,"{'GTP': 268.2778499975758, 'GFP': 444.990799044558, 'GTN': 10834.009200955443, 'GFN': 452.7221500024242}",0.6335227272727273,0.9572458791208791,0.029333333333333333,0.94775,0.41565703634669154
kdd,2,0.046997929606625244,0.02453691292133816,0.05237632082524912,0.02339430359202887,0.00027364672027800743,0.00027443992298851116,0.046997929606625244,0.006924903874106618,0.011551562422866146,-0.094758064516129,-0.04699792960662519,0.00999457713436918,0.0020758962360510787,"{'GTP': 263.2689960155085, 'GFP': 399.2343315011716, 'GTN': 10879.765668498829, 'GFN': 457.7310039844915}",0.6794871794871795,0.95645106091718,0.026,0.94925,0.41045498547918685
kdd,3,0.1222222222222222,-0.05995875572809485,0.010221282339971535,0.026679568060242385,0.00035589967594055284,0.00035650729563020727,-0.1222222222222222,0.0034713205256097744,0.03687690401012966,0.015151515151515138,0.12222222222222223,0.03559407983145821,0.002304710766032501,"{'GTP': 238.88922670448528, 'GFP': 362.37463112029536, 'GTN': 10916.625368879704, 'GFN': 482.1107732955147}",0.690566037735849,0.954154239454623,0.022083333333333333,0.9483333333333334,0.3711967545638945
kdd,4,0.05282051282051281,-0.025777699312182066,0.0034750496510567042,0.028606158384776474,0.0004091561487674587,0.000410426714636685,-0.05282051282051281,0.0020416753820589814,0.016009255421840174,0.008196721311475419,0.05282051282051281,0.015146820613588827,0.0012651141961486784,"{'GTP': 228.7404627365613, 'GFP': 421.8797769433981, 'GTN': 10856.120223056601, 'GFN': 493.2595372634387}",0.6746987951807228,0.9528550761637308,0.02075,0.9470833333333334,0.34603501544799176
