dataset,fold,eq_odds,av_odds,av_pred_diff,cof_variation_allgroups,entropy_index_allgroups,theil_index_allgroups,eq_opportunity,stat_parity,error_rate,false_discovery_rate_dif,false_negative_rate_diff,false_omisson_rate_dif,pred_equality,binary_confusion_matrix,ppv,npv,selection_rate,accuracy,f1-score
adult,0,0.0,0.0,-0.005934993795846999,0.006824110728989241,2.3284243620753036e-05,2.3226170797677885e-05,0.0,0.0,-0.011869987591693998,0.0,0.0,-0.011869987591693998,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7614151464897734,0.0,0.7614151464897734,0.0
adult,1,0.0,0.0,0.010618951151333073,0.011950189013998828,7.140350873514913e-05,7.17499716444549e-05,0.0,0.0,0.02123790230266609,0.0,0.0,0.021237902302666145,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7614151464897734,0.0,0.7614151464897734,0.0
adult,2,0.0,0.0,-0.0006103622131648084,0.0006957719562067973,2.420493075219167e-07,2.4198510258244567e-07,0.0,0.0,-0.0012207244263297001,0.0,0.0,-0.0012207244263296169,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,3,0.0,0.0,-0.006312671683539509,0.007170661336072181,2.570919199832024e-05,2.5638371128646536e-05,0.0,0.0,-0.0126253433670791,0.0,0.0,-0.012625343367079017,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,4,0.0,0.0,-0.003216721613432824,0.003643562772660995,6.637774839160538e-06,6.628346100003419e-06,0.0,0.0,-0.006433443226865676,0.0,0.0,-0.006433443226865648,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,0,0.0,0.0,0.006838395283835091,0.006148581801350169,1.8902529083947243e-05,1.89856909869818e-05,0.0,0.0,0.013676790567670238,0.0,0.0,0.013676790567670183,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7614151464897734,0.0,0.7614151464897734,0.0
adult,1,0.0,0.0,0.009137490072701732,0.008414551155578173,3.540233557492098e-05,3.5606451433547015e-05,0.0,0.0,0.018274980145403408,0.0,0.0,0.018274980145403463,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7614151464897734,0.0,0.7614151464897734,0.0
adult,2,0.0,0.0,-0.003480033886403,0.0031559305910356644,4.979948947717358e-06,4.969016878190796e-06,0.0,0.0,-0.006960067772806,0.0,0.0,-0.006960067772806,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,3,0.0,0.0,-0.010906934847551925,0.0099505412882292,4.9506635964377e-05,4.917078331094455e-05,0.0,0.0,-0.021813869695103905,0.0,0.0,-0.02181386969510385,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,4,0.0,0.0,-0.005126356888488434,0.004686077514426679,1.097966123560766e-05,1.094448339992237e-05,0.0,0.0,-0.010252713776976785,0.0,0.0,-0.010252713776976868,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,0,0.0,0.0,0.0019657864444040524,0.00242361063742906,2.936944260929648e-06,2.9386906912661565e-06,0.0,0.0,0.003931572888808077,0.0,0.0,0.003931572888808105,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7614151464897734,0.0,0.7614151464897734,0.0
adult,1,0.0,0.0,0.002776052873718793,0.003405980697458547,5.800352255730105e-06,5.805399962809784e-06,0.0,0.0,0.005552105747437586,0.0,0.0,0.005552105747437586,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7614151464897734,0.0,0.7614151464897734,0.0
adult,2,0.0,0.0,-0.005317054757772097,0.006548386492961484,2.14406828306002e-05,2.1406240780765895e-05,0.0,0.0,-0.010634109515544221,0.0,0.0,-0.010634109515544193,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,3,0.0,0.0,-0.0021928502292813817,0.0026992549974970293,3.642988770756344e-06,3.6405563029101246e-06,0.0,0.0,-0.004385700458562791,0.0,0.0,-0.0043857004585627635,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,4,0.0,0.0,0.004502362625932427,0.005532804759729594,1.5305964254643224e-05,1.5327383677104872e-05,0.0,0.0,0.009004725251864798,0.0,0.0,0.009004725251864854,0.0,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
kdd,0,0.021367521367521375,0.01059851744014144,-0.2067748980816667,0.5825068675909046,0.16965712539528383,0.17783850951677527,-0.00017048648723849203,0.005748202622723842,-0.06446675498757803,0.3481392557022809,0.00017048648723849702,-0.06541054046105255,0.021367521367521375,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.21212121212121213,0.05605832076420312,0.0055,0.056916666666666664,0.10572896088502569
kdd,1,0.021278966131907315,0.010543171387790056,-0.18204352770350288,0.6074974373472329,0.1845265681917276,0.1929930839855554,-0.00019262335632720478,0.006447227669816367,-0.0665136387947941,0.29656862745098034,0.00019262335632719285,-0.06751842795602536,0.021278966131907315,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.14925373134328357,0.05564401240258108,0.005583333333333333,0.05616666666666666,0.10494705231547337
kdd,2,0.03644162210338681,0.019033682087682413,-0.16526508535545711,0.6051579828886685,0.18310809212694099,0.19210156624992564,0.0016257420719780133,0.009006671802562476,-0.0661849695214386,0.2647058823529411,-0.0016257420719779647,-0.06582428835797305,0.03644162210338681,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.29069767441860467,0.05539701191875105,0.007166666666666667,0.05708333333333333,0.10447170557973882
kdd,3,0.0031832298136645967,-0.0011881827413472942,-0.13130687022545828,0.5853006264871007,0.17128841168309628,0.17925151848057852,0.0008068643309700081,0.004775757770039683,-0.06816591133426031,0.19444444444444442,-0.0008068643309699919,-0.06816929600647215,-0.0031832298136645967,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.3064516129032258,0.05679343273580164,0.005166666666666667,0.058083333333333334,0.10711746583458409
kdd,4,0.017864693446088792,0.009453953053920099,-0.14469695994412166,0.5677986075350696,0.16119762935938203,0.16772571794583807,0.0010432126617514058,0.006961988296685924,-0.06354982338347104,0.2258620689655172,-0.001043212661751447,-0.06353185092272606,0.017864693446088792,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.28205128205128205,0.05586311021640664,0.0065,0.05733333333333333,0.10534640936412527
kdd,0,0.0068011257035647255,0.003456209823294189,-0.05817993949730477,0.011515761988399995,6.63063870867391e-05,6.584279288542e-05,0.0068011257035647255,-0.001856435006766109,-0.029366970069616305,0.08666666666666666,-0.0068011257035647255,-0.029693212327942864,0.0001112939430236526,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.9107142857142857,0.9439048894842599,0.004666666666666667,0.94375,0.13127413127413126
kdd,1,0.05154784240150094,-0.02593392120075047,0.012151560342712395,0.010865137984700637,5.902561171329231e-05,5.864272815819234e-05,-0.05154784240150094,-0.004666640575212272,-0.02831709258434456,-0.05263157894736842,0.0515478424015009,-0.028328458261943683,-0.00032,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.9491525423728814,0.9443095218155934,0.004916666666666666,0.9443333333333334,0.14358974358974358
kdd,2,0.03170577045022194,-0.01628084810266182,-0.04735998056599604,0.012467864872715778,7.772382724215001e-05,7.71408829772617e-05,-0.03170577045022194,-0.0048109175204746404,-0.0335446642551136,0.06159420289855072,0.03170577045022194,-0.0331257582334413,-0.0008559257551017006,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.8082191780821918,0.9444956820659008,0.006083333333333333,0.9436666666666667,0.1486146095717884
kdd,3,0.037402496099843995,-0.019072797943764885,0.06459432447864435,0.007335214389430728,2.6902685069455802e-05,2.6782772019827283e-05,-0.037402496099843995,-0.003640044311443362,-0.020204447557880423,-0.14893617021276595,0.03740249609984392,-0.019747521255477234,-0.000743099787685775,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.8571428571428571,0.9431846707388503,0.004083333333333333,0.9428333333333333,0.10909090909090909
kdd,4,0.011582054016517448,-0.006374210127758247,0.07326939113534969,0.011403419158510352,6.501898425234047e-05,6.456426088204387e-05,-0.011582054016517448,-0.004047043925445648,-0.0316596743918216,-0.1774193548387097,0.011582054016517462,-0.030880572568010255,-0.0011663662389990457,"{'GTP': nan, 'GFP': nan, 'GTN': nan, 'GFN': nan}",0.8333333333333334,0.9441092676386794,0.0055,0.9435,0.13959390862944163
german_credit,0,0.1879815100154083,0.18405286680894636,-0.002291825821237631,0.04633727001090265,0.001073571296031649,0.001047318521154075,0.18012422360248442,0.2181571815718157,0.10162601626016265,0.0714285714285714,-0.18012422360248453,0.06684491978609625,0.1879815100154083,"{'GTP': 28.745766313305765, 'GFP': 49.537611120815505, 'GTN': 90.4623888791845, 'GFN': 31.254233686694235}",0.6190476190476191,0.7848101265822784,0.21,0.75,0.5098039215686274
german_credit,1,0.197312356604392,0.10686411263872131,-0.03598484848484851,0.024953943012285713,0.0003113496359302015,0.00030793754524654105,0.016415868673050615,0.16433566433566432,0.1748251748251748,0.20833333333333331,-0.01641586867305056,0.13636363636363635,0.197312356604392,"{'GTP': 27.85595854855159, 'GFP': 47.8850266424934, 'GTN': 92.11497335750661, 'GFN': 32.14404145144841}",0.631578947368421,0.7777777777777778,0.19,0.75,0.4897959183673469
german_credit,2,0.13043478260869568,0.1291582351494979,0.05888648388648386,0.009535321426908917,4.546117735723415e-05,4.52032519038878e-05,0.13043478260869568,0.1716566866267465,0.09980039920159689,-0.006734006734006703,-0.13043478260869568,0.11103896103896102,0.12788168769030012,"{'GTP': 28.49425806887448, 'GFP': 49.05988121781458, 'GTN': 90.94011878218544, 'GFN': 31.50574193112552}",0.631578947368421,0.7777777777777778,0.19,0.75,0.4897959183673469
german_credit,3,0.215311004784689,0.2085473641537715,0.12767154105736783,0.018689087865220163,0.0001746410026169598,0.00017323529898663272,0.215311004784689,0.2860215053763441,0.11397849462365595,-0.09523809523809523,-0.215311004784689,0.1601049868766404,0.20178372352285398,"{'GTP': 29.35668045277087, 'GFP': 51.21013306507606, 'GTN': 88.78986693492394, 'GFN': 30.64331954722913}",0.6122448979591837,0.8013245033112583,0.245,0.755,0.5504587155963303
german_credit,4,0.15571987820791647,0.025486780347820773,0.021464646464646492,0.011145537404520732,6.211150201778536e-05,6.254531756867217e-05,-0.10474631751227492,0.09821428571428573,0.18601190476190477,0.1388888888888889,0.10474631751227503,0.18181818181818182,0.15571987820791647,"{'GTP': 30.10756348228394, 'GFP': 49.96726607466895, 'GTN': 90.03273392533104, 'GFN': 29.89243651771606}",0.6086956521739131,0.7922077922077922,0.23,0.75,0.5283018867924528
german_credit,0,0.11004784688995212,-0.061215873909372345,0.08825757575757576,0.0551539722574476,0.0015209803278876499,0.0015468122035217447,-0.11004784688995212,-0.014285714285714263,0.07142857142857151,-0.06666666666666671,0.11004784688995217,0.10984848484848486,-0.012383900928792574,"{'GTP': 28.745766313305737, 'GFP': 49.53761112081553, 'GTN': 90.46238887918449, 'GFN': 31.254233686694263}",0.6190476190476191,0.7848101265822784,0.21,0.75,0.5098039215686274
german_credit,1,0.11721611721611719,0.0552066980638409,0.06710161940882546,0.0008465984614904993,3.5836447749904024e-07,3.584451006649961e-07,0.11721611721611719,0.047039740470397384,-0.01737921445950641,-0.130952380952381,-0.11721611721611724,0.0032508578652699904,-0.006802721088435382,"{'GTP': 27.855958548551627, 'GFP': 47.8850266424934, 'GTN': 92.11497335750659, 'GFN': 32.14404145144837}",0.631578947368421,0.7777777777777778,0.19,0.75,0.4897959183673469
german_credit,2,0.408930669800235,0.2497782095105227,0.03192411402157162,0.07479282884747296,0.0027969836235036917,0.002750335534267494,0.408930669800235,0.21393034825870644,-0.03392130257801895,-0.11931818181818182,-0.40893066980023507,-0.05546995377503852,0.09062574922081038,"{'GTP': 28.494258068874505, 'GFP': 49.05988121781458, 'GTN': 90.94011878218544, 'GFN': 31.505741931125495}",0.631578947368421,0.7777777777777778,0.19,0.75,0.4897959183673469
